"","bull_threshold","bear_threshold","ROI","NumberOfTrades"
"1",0.5,0.5,23.7146661173262,45
"2",0.55,0.5,22.3693304647881,45
"3",0.6,0.5,18.2625465413648,43
"4",0.65,0.5,12.7628549755418,43
"5",0.7,0.5,18.8048686965609,41
"6",0.75,0.5,36.2166328257929,37
"7",0.8,0.5,91.7558049550714,31
"8",0.85,0.5,43.9958259028293,27
"9",0.9,0.5,46.9866214059526,21
"10",0.95,0.5,0,0
"11",0.5,0.55,12.1408611237093,41
"12",0.55,0.55,10.9213848618329,41
"13",0.6,0.55,7.16363937714659,41
"14",0.65,0.55,2.18009233810799,41
"15",0.7,0.55,7.6550647486217,39
"16",0.75,0.55,23.1694586417625,35
"17",0.8,0.55,73.3889481612509,29
"18",0.85,0.55,30.2035408980293,25
"19",0.9,0.55,34.3422078937683,19
"20",0.95,0.55,0,0
"21",0.5,0.6,18.4944793889607,37
"22",0.55,0.6,17.2059106787666,37
"23",0.6,0.6,-0.705169225183054,37
"24",0.65,0.6,-5.32278451686012,37
"25",0.7,0.6,-9.13124771295028,37
"26",0.75,0.6,4.58743254734922,33
"27",0.8,0.6,61.086132197175,29
"28",0.85,0.6,20.9649462902014,25
"29",0.9,0.6,24.8099540941341,19
"30",0.95,0.6,0,0
"31",0.5,0.65,19.421039156173,35
"32",0.55,0.65,18.1223945679269,35
"33",0.6,0.65,0.0712601558524875,35
"34",0.65,0.65,-4.58246227407939,35
"35",0.7,0.65,-7.18041059617239,35
"36",0.75,0.65,12.2635385158841,31
"37",0.8,0.65,65.7164849586321,27
"38",0.85,0.65,24.4420325263324,23
"39",0.9,0.65,28.6762023301755,17
"40",0.95,0.65,0,0
"41",0.5,0.7,7.293276280233,27
"42",0.55,0.7,6.12651509994967,27
"43",0.6,0.7,-10.0914425173301,27
"44",0.65,0.7,-12.3458568763217,27
"45",0.7,0.7,-14.7324300313193,27
"46",0.75,0.7,3.12951378925278,23
"47",0.8,0.7,30.8895063033721,23
"48",0.85,0.7,21.6867641270458,19
"49",0.9,0.7,19.8915941481101,13
"50",0.95,0.7,0,0
"51",0.5,0.75,4.73094924058609,19
"52",0.55,0.75,3.59205209637934,19
"53",0.6,0.75,-4.94954519495228,19
"54",0.65,0.75,-7.33289018613945,19
"55",0.7,0.75,-9.85595217444646,19
"56",0.75,0.75,0.0571271340115891,17
"57",0.8,0.75,10.2403032155144,17
"58",0.85,0.75,2.48939088812736,13
"59",0.9,0.75,14.9794607729321,11
"60",0.95,0.75,0,0
"61",0.5,0.8,4.73094924058609,19
"62",0.55,0.8,3.59205209637934,19
"63",0.6,0.8,-4.94954519495228,19
"64",0.65,0.8,-7.33289018613945,19
"65",0.7,0.8,-9.85595217444646,19
"66",0.75,0.8,0.0571271340115891,17
"67",0.8,0.8,10.2403032155144,17
"68",0.85,0.8,2.48939088812736,13
"69",0.9,0.8,14.9794607729321,11
"70",0.95,0.8,0,0
"71",0.5,0.85,22.9428425336107,15
"72",0.55,0.85,21.605900079852,15
"73",0.6,0.85,11.5789857972232,15
"74",0.65,0.85,8.78119574490846,15
"75",0.7,0.85,5.81939300197329,15
"76",0.75,0.85,9.86808028026315,15
"77",0.8,0.85,21.0497525836478,15
"78",0.85,0.85,14.253746114553,11
"79",0.9,0.85,14.9794607729321,11
"80",0.95,0.85,0,0
"81",0.5,0.9,34.593995794625,13
"82",0.55,0.9,33.1303528261484,13
"83",0.6,0.9,22.153199288965,13
"84",0.65,0.9,19.090265857663,13
"85",0.7,0.9,15.8477764397195,13
"86",0.75,0.9,20.5523657410113,13
"87",0.8,0.9,22.0449294242837,13
"88",0.85,0.9,-11.3454198551555,11
"89",0.9,0.9,-10.7823054669493,11
"90",0.95,0.9,0,0
"91",0.5,0.95,22.4336487216564,13
"92",0.55,0.95,21.102243498129,13
"93",0.6,0.95,11.1168578039117,13
"94",0.65,0.95,8.33065539144998,13
"95",0.7,0.95,5.38111958165096,13
"96",0.75,0.95,9.66065694506296,13
"97",0.8,0.95,11.0183699441727,13
"98",0.85,0.95,-19.3552159668233,11
"99",0.9,0.95,-18.842978041285,11
"100",0.95,0.95,0,0
